timestamp_utc,bruto,rms,raw_line
2025-11-14T18:23:04.701427+00:00,,,1.60
2025-11-14T18:23:04.701889+00:00,3,1.62,3	1.62
2025-11-14T18:23:04.702069+00:00,1,1.63,1	1.63
2025-11-14T18:23:04.702214+00:00,2,1.63,2	1.63
2025-11-14T18:23:04.702400+00:00,-3,1.65,-3	1.65
2025-11-14T18:23:04.702574+00:00,-1,1.65,-1	1.65
2025-11-14T18:23:04.702776+00:00,0,1.65,0	1.65
2025-11-14T18:23:04.702970+00:00,-4,1.69,-4	1.69
2025-11-14T18:23:04.703221+00:00,1,1.68,1	1.68
2025-11-14T18:23:04.703497+00:00,0,1.68,0	1.68
2025-11-14T18:23:04.703615+00:00,,,�
2025-11-14T18:23:04.704677+00:00,2,1.62,2	1.62
2025-11-14T18:23:04.705214+00:00,0,1.62,0	1.62
2025-11-14T18:23:04.705499+00:00,0,1.62,0	1.62
2025-11-14T18:23:04.705861+00:00,-1,1.59,-1	1.59
2025-11-14T18:23:04.706070+00:00,-1,1.6,-1	1.60
2025-11-14T18:23:04.706206+00:00,0,1.6,0	1.60
2025-11-14T18:23:04.706347+00:00,3,1.62,3	1.62
2025-11-14T18:23:04.706467+00:00,1,1.63,1	1.63
2025-11-14T18:23:04.706603+00:00,2,1.63,2	1.63
2025-11-14T18:23:04.706765+00:00,-3,1.65,-3	1.65
2025-11-14T18:23:04.706883+00:00,-1,1.65,-1	1.65
2025-11-14T18:23:04.707017+00:00,0,1.65,0	1.65
2025-11-14T18:23:04.707142+00:00,-4,1.69,-4	1.69
2025-11-14T18:23:04.707256+00:00,1,1.68,1	1.68
2025-11-14T18:23:04.707375+00:00,0,1.68,0	1.68
2025-11-14T18:23:05.709282+00:00,,,�
2025-11-14T18:23:06.043855+00:00,185,0.0,185	0
2025-11-14T18:23:06.052139+00:00,279,0.0,279	0
2025-11-14T18:23:06.060601+00:00,95,0.0,95	0
2025-11-14T18:23:06.064391+00:00,82,0.0,82	0
2025-11-14T18:23:06.072584+00:00,20,0.0,20	0
2025-11-14T18:23:06.080661+00:00,-40,0.0,-40	0
2025-11-14T18:23:06.084750+00:00,-47,0.0,-47	0
2025-11-14T18:23:06.093066+00:00,-109,0.0,-109	0
2025-11-14T18:23:06.101274+00:00,-98,0.0,-98	0
2025-11-14T18:23:06.109498+00:00,-138,0.0,-138	0
2025-11-14T18:23:06.117961+00:00,-122,0.0,-122	0
2025-11-14T18:23:06.125959+00:00,-128,0.0,-128	0
2025-11-14T18:23:06.134005+00:00,-107,0.0,-107	0
2025-11-14T18:23:06.142294+00:00,-100,0.0,-100	0
2025-11-14T18:23:06.150922+00:00,-102,0.0,-102	0
2025-11-14T18:23:06.158912+00:00,-74,0.0,-74	0
2025-11-14T18:23:06.166692+00:00,-80,0.0,-80	0
2025-11-14T18:23:06.174904+00:00,-47,0.0,-47	0
2025-11-14T18:23:06.179080+00:00,-51,0.0,-51	0
2025-11-14T18:23:06.187252+00:00,-20,0.0,-20	0
