2025-11-14T18:23:04.701281+00:00	1.60
2025-11-14T18:23:04.701847+00:00	3	1.62
2025-11-14T18:23:04.702044+00:00	1	1.63
2025-11-14T18:23:04.702191+00:00	2	1.63
2025-11-14T18:23:04.702372+00:00	-3	1.65
2025-11-14T18:23:04.702552+00:00	-1	1.65
2025-11-14T18:23:04.702745+00:00	0	1.65
2025-11-14T18:23:04.702944+00:00	-4	1.69
2025-11-14T18:23:04.703191+00:00	1	1.68
2025-11-14T18:23:04.703447+00:00	0	1.68
2025-11-14T18:23:04.703582+00:00	�
2025-11-14T18:23:04.704614+00:00	2	1.62
2025-11-14T18:23:04.705178+00:00	0	1.62
2025-11-14T18:23:04.705467+00:00	0	1.62
2025-11-14T18:23:04.705722+00:00	-1	1.59
2025-11-14T18:23:04.706055+00:00	-1	1.60
2025-11-14T18:23:04.706180+00:00	0	1.60
2025-11-14T18:23:04.706336+00:00	3	1.62
2025-11-14T18:23:04.706456+00:00	1	1.63
2025-11-14T18:23:04.706592+00:00	2	1.63
2025-11-14T18:23:04.706754+00:00	-3	1.65
2025-11-14T18:23:04.706873+00:00	-1	1.65
2025-11-14T18:23:04.707006+00:00	0	1.65
2025-11-14T18:23:04.707131+00:00	-4	1.69
2025-11-14T18:23:04.707245+00:00	1	1.68
2025-11-14T18:23:04.707364+00:00	0	1.68
2025-11-14T18:23:05.709194+00:00	�
2025-11-14T18:23:06.043805+00:00	185	0
2025-11-14T18:23:06.052105+00:00	279	0
2025-11-14T18:23:06.060555+00:00	95	0
2025-11-14T18:23:06.064352+00:00	82	0
2025-11-14T18:23:06.072532+00:00	20	0
2025-11-14T18:23:06.080626+00:00	-40	0
2025-11-14T18:23:06.084726+00:00	-47	0
2025-11-14T18:23:06.093043+00:00	-109	0
2025-11-14T18:23:06.101246+00:00	-98	0
2025-11-14T18:23:06.109456+00:00	-138	0
2025-11-14T18:23:06.117916+00:00	-122	0
2025-11-14T18:23:06.125872+00:00	-128	0
2025-11-14T18:23:06.133963+00:00	-107	0
2025-11-14T18:23:06.142265+00:00	-100	0
2025-11-14T18:23:06.150799+00:00	-102	0
2025-11-14T18:23:06.158792+00:00	-74	0
2025-11-14T18:23:06.166660+00:00	-80	0
2025-11-14T18:23:06.174849+00:00	-47	0
2025-11-14T18:23:06.179061+00:00	-51	0
2025-11-14T18:23:06.187226+00:00	-20	0
2025-11-14T18:23:06.195337+00:00	-13	0
2025-11-14T18:23:06.203486+00:00	-3	0
2025-11-14T18:23:06.207709+00:00	18	0
2025-11-14T18:23:06.215819+00:00	10	0
2025-11-14T18:23:06.220062+00:00	41	0
2025-11-14T18:23:06.228209+00:00	34	0
2025-11-14T18:23:06.232370+00:00	43	0
2025-11-14T18:23:06.240437+00:00	60	0
2025-11-14T18:23:06.244575+00:00	45	0
2025-11-14T18:23:06.252655+00:00	65	0
2025-11-14T18:23:06.256750+00:00	61	0
2025-11-14T18:23:06.265017+00:00	51	0
2025-11-14T18:23:06.269096+00:00	68	0
2025-11-14T18:23:06.277338+00:00	52	0
2025-11-14T18:23:06.281451+00:00	51	0
2025-11-14T18:23:06.289541+00:00	59	0
2025-11-14T18:23:06.293780+00:00	38	0
2025-11-14T18:23:06.301944+00:00	47	0
2025-11-14T18:23:06.306071+00:00	41	0
2025-11-14T18:23:06.314258+00:00	24	0
2025-11-14T18:23:06.318372+00:00	37	0
2025-11-14T18:23:06.326674+00:00	20	0
2025-11-14T18:23:06.330863+00:00	18	0
2025-11-14T18:23:06.338914+00:00	19	0
2025-11-14T18:23:06.347186+00:00	-1	0
2025-11-14T18:23:06.351024+00:00	5	0
2025-11-14T18:23:06.355195+00:00	2	0
2025-11-14T18:23:06.363632+00:00	-15	0
2025-11-14T18:23:06.367837+00:00	-1	0
2025-11-14T18:23:06.375631+00:00	-6	0
2025-11-14T18:23:06.383811+00:00	-19	0
2025-11-14T18:23:06.388292+00:00	-11	0
2025-11-14T18:23:06.396487+00:00	-20	0
2025-11-14T18:23:06.404328+00:00	-15	0
2025-11-14T18:23:06.412508+00:00	-19	0
2025-11-14T18:23:06.420727+00:00	-27	0
2025-11-14T18:23:06.424867+00:00	-17	0
2025-11-14T18:23:06.433241+00:00	-27	0
2025-11-14T18:23:06.441369+00:00	-13	0
2025-11-14T18:23:06.449624+00:00	-22	0
2025-11-14T18:23:06.453872+00:00	-19	0
2025-11-14T18:23:06.461979+00:00	-16	0
2025-11-14T18:23:06.470074+00:00	-22	0
2025-11-14T18:23:06.477952+00:00	-10	0
2025-11-14T18:23:06.486272+00:00	-23	0
2025-11-14T18:23:06.490543+00:00	-7	0
2025-11-14T18:23:06.498941+00:00	-20	0
2025-11-14T18:23:06.503000+00:00	-5	0
2025-11-14T18:23:06.510988+00:00	-5	0
2025-11-14T18:23:06.519077+00:00	-10	0
2025-11-14T18:23:06.523397+00:00	5	0
2025-11-14T18:23:06.531550+00:00	-18	0
2025-11-14T18:23:06.535460+00:00	8	0
2025-11-14T18:23:06.539548+00:00	0	0
2025-11-14T18:23:06.547664+00:00	-7	0
2025-11-14T18:23:06.551884+00:00	12	0
2025-11-14T18:23:06.559962+00:00	0	0
2025-11-14T18:23:06.564113+00:00	0	0
2025-11-14T18:23:06.568164+00:00	15	0
2025-11-14T18:23:06.576306+00:00	4	0
2025-11-14T18:23:06.580515+00:00	-5	0
2025-11-14T18:23:06.588622+00:00	16	0
2025-11-14T18:23:06.592770+00:00	1	0
2025-11-14T18:23:06.596851+00:00	2	0
2025-11-14T18:23:06.605022+00:00	14	0
2025-11-14T18:23:06.609148+00:00	0	0
2025-11-14T18:23:06.613418+00:00	4	0
2025-11-14T18:23:06.621474+00:00	14	0
2025-11-14T18:23:06.625794+00:00	-1	0
2025-11-14T18:23:06.633763+00:00	0	0
2025-11-14T18:23:06.638245+00:00	15	0
2025-11-14T18:23:06.646076+00:00	-3	0
2025-11-14T18:23:06.650199+00:00	3	0
2025-11-14T18:23:06.654356+00:00	9	0
2025-11-14T18:23:06.662453+00:00	-9	0
2025-11-14T18:23:06.666607+00:00	6	0
